Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,,0.233,,0.2544,,0.2255,,0.232,,0.3727,,,,
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,-20.4031,0.2251,-24.6683,0.4883,-32.2685,0.3753,-10.2499,0.3555,-23.2098,0.4268,-22.1599,,,
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,-11.9873,0.2489,-22.0765,0.5051,-33.4055,0.369,-10.2499,0.3555,-21.3746,0.437,-19.8188,,,
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,2.2984,0.2893,-4.7670,0.6173,-0.1985,0.553,0.0000,0.3961,-1.5293,0.5473,-0.8393,,,
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,,0.2828,,0.6482,,0.5541,,0.3961,,0.5558,,,,
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,-33.3458,0.1789,-17.9071,0.1114,-9.9065,0.0482,0.0000,0.1855,-30.1569,0.1825,-18.2633,,,
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,-43.4799,0.1517,-18.2019,0.111,-9.9065,0.0482,0.0000,0.1855,-34.6345,0.1708,-21.2446,,,
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,-12.7422,0.2342,3.8320,0.1409,0.0000,0.0535,0.0000,0.1855,-0.2296,0.2607,-1.8280,,,
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,,0.2684,,0.1357,,0.0535,,0.1855,,0.2613,,,,
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,-23.6133,0.1446,-32.9499,0.0816,-1.7241,0.0342,-14.1991,0.0991,-36.5318,0.1098,-21.8037,,,
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,-34.3370,0.1243,-26.9515,0.0889,-10.9195,0.031,-14.1991,0.0991,-29.9422,0.1212,-23.2699,,,
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,4.3317,0.1975,-15.1191,0.1033,9.4828,0.0381,0.0000,0.1155,-7.8613,0.1594,-1.8332,,,
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,,0.1893,,0.1217,,0.0348,,0.1155,,0.173,,,,
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,-33.3458,0.1789,-17.9071,0.1114,-9.9065,0.0482,0.0000,0.1855,-32.0871,0.1871,-18.6493,,,
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,-43.4799,0.1517,-18.2019,0.111,-9.9065,0.0482,0.0000,0.1855,-36.6243,0.1746,-21.6425,,,
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,-12.7422,0.2342,3.8320,0.1409,0.0000,0.0535,0.0000,0.1855,-0.2178,0.2749,-1.8256,,,
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,,0.2684,,0.1357,,0.0535,,0.1855,,0.2755,,,,
