Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,0.6183,0.3940,0.3654,0.3575,0.5422
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,0.5788,0.3916,0.3654,0.3497,0.5422
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,0.4741,0.3994,0.5273,0.3267,0.5416
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,0.4360,0.4125,0.5273,0.3147,0.5416
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,0.4015,0.2369,0.1660,0.2475,0.2991
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,0.4357,0.2366,0.1681,0.2475,0.2932
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,0.3848,0.5622,0.6554,0.3596,0.5348
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,0.4169,0.5516,0.6896,0.3596,0.5188
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,0.3423,0.6839,0.8534,0.3528,0.6342
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,0.3674,0.6814,0.8641,0.3528,0.6144
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,0.4172,0.2420,0.2206,0.2691,0.3476
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,0.5126,0.2323,0.2062,0.2691,0.3502
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,0.4500,0.6164,0.5695,0.3543,0.5439
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,0.4763,0.5685,0.5842,0.3543,0.5163
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,0.4289,0.7461,0.8236,0.3447,0.5811
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,0.4289,0.7301,0.8342,0.3447,0.5754
