Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,
ForthRSegment,Forth,Segment,Z,Z,Z,R,0.3661,0.465,0.3902,0.2581,0.4474,18.5,0.38536
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,0.3867,0.716,0.5867,0.3166,0.6754,19.5,0.53628
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,0.4289,0.7461,0.8236,0.3447,0.5811,20.5,0.58488
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,0.4741,0.3994,0.5273,0.3267,0.5416,21.5,0.45382
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,0.3423,0.6839,0.8534,0.3528,0.6342,22.5,0.57332
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,0.4741,0.3994,0.5273,0.3267,0.5416,23.5,0.45382
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,0.5158,0.6786,0.5744,0.326,0.5506,24.5,0.52908
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,0.7537,0.2634,0.3293,0.34,0.446,25.5,0.42648
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,0.628,0.4894,0.5501,0.3386,0.4779,26.5,0.4968
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,0.7537,0.2634,0.3293,0.34,0.446,27.5,0.42648
ForthBB,Forth,BB,Z,Z,Z,Z,0.2148,0.4701,0.3464,0.2521,0.4104,28.5,0.33876
ForthCTBB,Forth,BB,Z,Z,CT,Z,0.52,0.7156,0.5689,0.3196,0.6742,29.5,0.55966
ForthRBB,Forth,BB,Z,Z,Z,R,0.3592,0.4273,0.3509,0.2498,0.4096,30.5,0.35936
ForthRCTBB,Forth,BB,Z,Z,CT,R,0.52,0.7156,0.5689,0.3196,0.6742,31.5,0.55966
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,0.45,0.6164,0.5695,0.3543,0.5439,32.5,0.50682
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,0.6183,0.394,0.3654,0.3575,0.5422,33.5,0.45548
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,0.3848,0.5622,0.6554,0.3596,0.5348,34.5,0.49936
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,0.6183,0.394,0.3654,0.3575,0.5422,35.5,0.45548
