Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in R3,Bach,% change in R3,Beethoven,% change in R3,Chopin,% change in R3,Gibbons,% change in R3,Mozart,Average % change in R3,,Average change over all cases,
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,-42.61613692,0.4694,4.414784394,0.2034,0,0.2098,0,0.3152,0,0.4002,-7.640270505,,,
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,,0.818,,0.1948,,0.2098,,0.3152,,0.4002,,,,
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,-30.75468954,0.4762,-16.53061224,0.1636,-0.33557047,0.1485,0,0.1452,-5.501519757,0.3109,-10.6244784,,,
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,0,0.6877,0,0.196,0,0.149,0,0.1452,0,0.329,0,,,
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,-30.75468954,0.4762,-19.03061224,0.1587,-0.33557047,0.1485,0,0.1452,-5.501519757,0.3109,-11.1244784,,,
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,,0.6877,,0.196,,0.149,,0.1452,,0.329,,,,
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,-42.61613692,0.4694,4.414784394,0.2034,0,0.2098,0,0.3152,0,0.4002,-7.640270505,,,
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,0,0.818,0,0.1948,0,0.2098,0,0.3152,0,0.4002,0,,,
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,-42.61613692,0.4694,4.414784394,0.2034,0,0.2098,0,0.3152,0,0.4002,-7.640270505,,,
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,,0.818,,0.1948,,0.2098,,0.3152,,0.4002,,,,
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,-17.41241762,0.4762,-17.44186047,0.1633,-36.16698292,0.1682,0,0.2009,0,0.3725,-14.2042522,,,
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0,0.5766,0,0.1978,0,0.2635,0,0.2009,0,0.3725,0,,,
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,-17.41241762,0.4762,-19.16076845,0.1599,-36.16698292,0.1682,0,0.2009,0,0.3725,-14.5480338,,,
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,,0.5766,,0.1978,,0.2635,,0.2009,,0.3725,,,,
